,All-CAUSES,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch20,Other,label,labels1
Anguilla,64,3,15,2,7,0,3,0,0,16,2,3,0,0,1,1,0,0,1,10,0,-1,0
Antigua and Barbuda,528,22,92,5,54,2,13,0,1,183,62,17,5,1,5,0,7,3,11,45,0,0,0
Argentina,299677,13482,59125,967,10707,2501,4597,0,2,89706,43159,12714,1200,865,8533,319,4648,2762,24414,19647,329,-1,0
Aruba,565,24,144,2,53,0,17,0,0,160,16,20,7,0,11,0,5,4,53,49,0,-1,0
Bahamas,1862,159,359,14,110,6,59,0,0,624,81,79,14,15,49,3,37,11,31,211,0,-1,0
Bahrain,2390,72,256,38,225,3,46,0,0,606,186,70,20,7,129,3,58,45,400,226,0,1,0
Barbados,2412,97,516,22,301,17,48,0,0,765,234,100,48,16,52,2,20,21,71,82,0,-1,0
Belize,1301,107,163,23,129,3,24,0,0,281,104,78,1,7,35,2,43,19,17,265,0,1,0
Brazil,1075141,47220,167324,5837,64336,11412,21468,39,123,316822,105070,55190,2643,4077,19817,1641,25944,10357,79729,135637,455,1,0
British Virgin Islands,101,2,23,1,10,1,1,0,0,33,6,2,1,1,0,0,6,2,1,11,0,0,0
Brunei ,1091,47,204,1,103,1,18,0,0,336,132,31,1,3,46,0,20,20,49,79,0,-1,0
Cayman Islands,150,4,45,0,4,0,5,0,0,46,8,4,1,0,7,0,2,0,3,21,0,-1,0
Colombia,196748,6635,33975,770,9687,83,2925,4,4,58692,20018,9931,1065,1885,5414,433,5331,3007,3742,33117,30,1,0
Costa Rica,16478,309,3668,86,761,186,524,0,1,4657,1294,1159,52,152,395,20,360,259,522,2073,0,-1,0
Cuba,86423,766,21754,226,2414,3402,1254,27,10,34756,8853,3022,176,638,775,57,330,382,763,6818,0,-1,0
Dominica,545,16,101,9,66,7,6,0,1,210,59,12,9,1,5,1,7,2,17,16,0,0,0
Dominican Republic,24755,1194,3593,108,1160,68,302,0,1,8818,1972,920,17,59,297,54,847,269,1213,3758,105,0,0
Ecuador,59950,2654,8949,496,4294,87,1019,0,1,13879,5368,3271,21,191,1820,162,1616,644,5942,9536,0,-1,0
Egypt,466381,15503,27906,5157,9707,434,4430,42,18,210354,32078,46661,233,172,16812,449,4697,6182,67335,18211,0,-1,0
El Salvador,31594,1132,3434,182,1604,674,683,0,0,5794,2653,1457,55,115,2261,18,289,387,5188,5668,0,1,0
Fiji,6471,418,639,36,1331,2,63,0,0,2195,370,149,9,19,192,4,138,74,435,397,0,-1,0
French Guiana,774,40,135,3,32,12,35,0,1,159,32,41,1,4,10,4,40,15,80,130,0,1,0
Grenada,857,42,156,16,81,0,15,0,0,321,76,33,10,2,23,0,10,3,19,50,0,0,0
Guatemala,67356,5284,6911,440,6613,791,1296,2,3,10357,9483,4315,111,166,2248,328,2816,658,3132,12402,0,1,0
Guyana,5003,488,469,85,547,11,67,0,2,1849,245,297,1,12,76,16,130,36,34,638,0,-1,0
Honduras,5434,499,392,53,396,27,126,1,0,1003,525,351,23,20,111,31,1129,304,51,392,0,1,0
Iraq,106245,6374,8021,343,3825,405,1508,47,1,43130,3927,1217,26,47,5200,62,5651,1754,6348,18359,0,0,0
Jordan,14355,311,2129,78,1116,8,321,0,0,5179,819,445,49,50,362,25,961,629,448,1425,0,-1,0
Kuwait,5701,150,698,26,187,5,58,0,0,2493,287,139,6,1,132,5,207,277,178,852,0,-1,0
Kyrgyzstan,37711,1027,3095,50,394,99,570,0,0,18419,3372,2586,18,160,766,70,2194,481,621,3789,0,-1,0
Malaysia,76016,7449,9275,470,1726,47,1042,2,1,20330,9447,2853,435,342,1854,133,1251,1040,9510,8809,0,1,0
Maldives,1066,58,81,14,19,0,22,0,1,394,158,33,1,1,22,4,51,11,152,44,0,-1,0
Mauritius,8798,203,1049,45,2075,87,129,0,0,3076,565,445,19,32,138,6,130,60,210,529,0,0,0
Mexico,536335,18248,70646,4498,90583,4030,9617,29,59,125635,45139,51350,1409,4539,15923,1135,14625,8810,10240,59655,165,1,0
Montserrat,45,0,9,2,5,0,0,0,0,18,2,0,2,0,2,0,0,0,1,4,0,0,0
Morocco,48428,1788,4765,239,2727,141,1104,0,0,9733,2316,1188,34,60,1308,72,3467,431,15325,3730,0,-1,0
Nicaragua,18254,647,2253,87,1538,235,283,0,1,4683,1750,1229,32,85,1066,69,1113,369,503,2305,6,1,0
Occupied Palestinian Territory,6425,249,609,12,210,0,80,0,269,2624,507,156,0,1,319,2,402,155,540,290,0,0,0
Panama,15115,1179,2566,61,1049,17,371,0,0,4139,1514,613,80,83,570,41,301,294,398,1839,0,-1,0
Paraguay,23338,1030,3396,85,1916,21,352,0,0,6183,1217,992,23,95,577,117,955,336,3239,2792,12,-1,0
Peru,91290,9001,17764,358,3184,7,3317,6,8,15518,18015,6271,61,321,4104,192,2756,887,555,8965,0,-1,0
Philippines,461581,41791,49047,3110,29261,762,6400,26,70,152959,65777,21416,1634,1685,16546,1731,12565,5259,16020,35522,0,1,0
Portugal,104768,2652,24608,357,5126,206,2689,0,4,33811,11580,4583,24,265,2878,4,191,181,11055,4554,0,-1,0
Qatar,1948,33,175,10,101,0,28,0,0,279,65,47,7,0,48,2,54,60,604,435,0,-1,0
Rodrigues(Mauritius),206,3,41,1,39,2,1,0,0,74,9,7,0,0,2,0,9,4,3,11,0,-1,0
Saint Kitts and Nevis,374,7,60,4,59,3,12,0,0,126,13,19,7,4,7,1,7,1,2,42,0,-1,0
Saint Lucia,1043,34,183,7,105,5,18,0,0,332,86,38,3,4,25,1,31,7,103,57,4,0,0
Saint Vincent and Grenadines,804,52,122,18,33,13,11,0,0,344,55,34,5,4,15,2,26,4,8,58,0,0,0
Seychelles,663,39,133,9,10,1,14,0,0,213,94,46,1,0,24,1,13,4,22,39,0,0,0
South Africa,592073,156104,34686,18338,28705,1829,15781,33,94,82415,77599,15353,1350,2003,8292,1807,11976,1692,80397,52831,788,1,0
Suriname,2972,222,373,23,202,6,44,0,0,818,133,163,28,13,64,9,113,40,323,398,0,-1,0
Syrian Arab Republic,67028,896,4524,252,954,158,1397,0,0,32962,7443,1309,15,5,1970,27,3018,1724,6685,3689,0,-1,0
Thailand,397327,38666,55402,563,8601,666,5093,4,2,35391,26356,13053,991,956,14894,89,2783,1427,150603,41787,0,0,0
Trinidad and Tobago,10463,455,1499,75,1533,43,207,0,1,3414,545,485,51,71,255,11,148,98,200,1372,0,1,0
Turks and Caicos Islands,55,7,6,0,2,0,1,0,0,23,4,0,0,0,1,0,2,0,3,6,0,-1,0
Venezuela (Bolivarian Republic of),133651,5676,21511,352,9282,109,1921,0,1,40077,8181,5484,18,552,2240,377,5027,2158,684,30001,0,-1,0
Virgin Islands (USA),678,27,104,3,56,12,29,0,0,283,17,21,2,4,10,0,5,4,19,82,0,-1,0
