,All-CAUSES,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch20,Other,label,labels1
Armenia,27412,277,5505,11,1368,8,148,0,1,13681,1791,1521,7,56,530,16,213,197,761,1321,0,3,2
Belarus,133879,1143,18410,74,399,805,978,0,7,70618,4028,4602,80,200,967,3,196,267,16769,14333,0,3,2
Bulgaria,110523,639,18179,134,2181,90,1026,0,1,71492,4466,3561,24,52,1354,5,280,207,2933,3899,0,3,2
Croatia,52151,327,13280,43,1332,771,774,0,0,26235,2249,2433,22,74,797,3,111,108,557,3035,0,3,2
Czechia,104948,931,27981,137,2211,201,1278,0,1,52280,5736,4743,81,85,1272,7,201,145,1537,6121,0,3,2
Estonia,16675,122,3585,14,262,192,232,0,2,9074,489,725,15,68,136,0,32,43,326,1358,0,3,2
Hungary,130027,420,32776,233,3253,2505,1746,0,7,64749,6231,8468,124,422,862,17,352,351,145,7366,0,3,2
Latvia,31031,286,5930,33,445,205,325,1,7,16516,725,1110,33,73,346,2,79,94,2368,2453,0,3,2
Lithuania,43832,540,8400,23,316,98,607,0,1,23623,1684,2544,46,72,303,3,70,115,602,4785,0,3,2
Montenegro,5708,7,920,3,89,42,21,0,0,3078,247,134,0,1,80,0,55,1,799,231,0,3,2
Poland,379399,2708,95520,435,7027,2067,4954,0,1,172943,19297,17079,35,511,4766,19,1262,987,24425,25363,0,3,2
Republic of Moldova,41948,714,5620,17,434,156,442,0,4,23470,2460,4010,29,36,382,17,178,214,217,3548,0,3,2
Romania,253202,2485,46486,116,2278,260,2032,1,1,153137,12310,15454,55,33,2425,30,870,649,1447,13133,0,3,2
Russian Federation,2075954,34540,289257,1209,10644,6795,14634,8,155,1185993,79493,90401,1843,1782,11207,359,6650,5420,91101,244463,0,3,2
Serbia,102711,394,20941,170,3207,829,1237,0,0,57343,3937,3660,72,169,1842,4,278,162,4774,3692,0,3,2
Slovakia,53164,314,11992,72,695,1,722,0,0,28475,2977,3024,0,54,712,2,143,140,667,3174,0,3,2
Macedonia,18982,81,3520,17,793,7,143,0,0,10883,735,403,0,4,282,0,148,51,1315,600,0,3,2
Ukraine,754460,17256,89008,314,2835,2858,7308,1,44,480120,23276,35195,548,727,3179,79,2624,2105,25606,61377,0,3,2
Peru,91290,9001,17764,358,3184,7,3317,6,8,15518,18015,6271,61,321,4104,192,2756,887,555,8965,0,-1,2
Philippines,461581,41791,49047,3110,29261,762,6400,26,70,152959,65777,21416,1634,1685,16546,1731,12565,5259,16020,35522,0,1,2
Poland,379399,2708,95520,435,7027,2067,4954,0,1,172943,19297,17079,35,511,4766,19,1262,987,24425,25363,0,3,2
Portugal,104768,2652,24608,357,5126,206,2689,0,4,33811,11580,4583,24,265,2878,4,191,181,11055,4554,0,-1,2
Puerto Rico,28871,1478,5175,340,3463,445,2007,1,3,7544,2759,1328,153,147,1304,6,217,112,149,2240,0,2,2
Qatar,1948,33,175,10,101,0,28,0,0,279,65,47,7,0,48,2,54,60,604,435,0,-1,2
Republic of Korea,246113,5603,69854,483,11053,5449,5458,1,4,55460,16018,10769,417,1666,4325,39,804,526,27709,30475,0,2,2
Republic of Moldova,41948,714,5620,17,434,156,442,0,4,23470,2460,4010,29,36,382,17,178,214,217,3548,0,3,2
Reunion,4118,79,1004,22,313,152,169,0,1,1115,266,226,11,25,87,2,72,27,212,335,0,2,2
Rodrigues(Mauritius),206,3,41,1,39,2,1,0,0,74,9,7,0,0,2,0,9,4,3,11,0,-1,2
Romania,253202,2485,46486,116,2278,260,2032,1,1,153137,12310,15454,55,33,2425,30,870,649,1447,13133,0,3,2
Russian Federation,2075954,34540,289257,1209,10644,6795,14634,8,155,1185993,79493,90401,1843,1782,11207,359,6650,5420,91101,244463,0,3,2
Saint Kitts and Nevis,374,7,60,4,59,3,12,0,0,126,13,19,7,4,7,1,7,1,2,42,0,-1,2
Saint Lucia,1043,34,183,7,105,5,18,0,0,332,86,38,3,4,25,1,31,7,103,57,4,0,2
